The President of the Confederate States of America was Robert E Lee,False
Archduke Franz Ferdinand was assassinated in Croatia,False
The Battle of Kursk was the largest tank battle in history,True
Neville Chamberlain was Prime Minister at the start of the First World War,False
Operation Overlord was the codename for D-Day,True
Prior to founding the British Union of Fascists Oswald Mosley was in the Labour Conservative and Liberal parties,False
Benito Mussolini was a prominent Socialist prior to founding the National Fascist Party,True
The Soviet T-34 tank used sloped armour,True
The M4 Sherman is a British tank,False
The Italian Social Republic was based in Salo,True
The Berlin Blockade began after the Korean War,False
The Warsaw Pact was formed during Stalin's rule of the Soviet Union,False
The Soviet Union had 16 constituent republics when it dissolved in 1991,False
Out of the 8 leaders of the USSR (Lenin-Gorbachev) only two were born outside Russia (modern borders),True
Jan Hus was a proto-Protestant who was born in Bohemia (modern Czechia),True
The tomato originally comes from Italy,False
Roman Emperor Diocletian was the first to divide the Empire into east and west,True
The city of Istanbul was once known as Byzantion,True
The Act of Union between Great Britain and Ireland was passed in 1707,False
Courland is a historical region located in modern day Latvia,True


